MarketDate,Name,MarketPrice
19/06/2015,Safaricom Ltd Ord 0.05,16.05
22/06/2015,Safaricom Ltd Ord 0.05,16.35
23/06/2015,Safaricom Ltd Ord 0.05,16
24/06/2015,Safaricom Ltd Ord 0.05,16.05
25/06/2015,Safaricom Ltd Ord 0.05,16.1
26/06/2015,Safaricom Ltd Ord 0.05,16.1
29/06/2015,Safaricom Ltd Ord 0.05,16.3
30/06/2015,Safaricom Ltd Ord 0.05,16.45
01/07/2015,Safaricom Ltd Ord 0.05,16.5
02/07/2015,Safaricom Ltd Ord 0.05,16.45
03/07/2015,Safaricom Ltd Ord 0.05,16.35
06/07/2015,Safaricom Ltd Ord 0.05,16.35
07/07/2015,Safaricom Ltd Ord 0.05,16.35
08/07/2015,Safaricom Ltd Ord 0.05,16.15
10/07/2015,Safaricom Ltd Ord 0.05,16
13/07/2015,Safaricom Ltd Ord 0.05,15.85
14/07/2015,Safaricom Ltd Ord 0.05,15.75
15/07/2015,Safaricom Ltd Ord 0.05,15.7
16/07/2015,Safaricom Ltd Ord 0.05,15.25
17/07/2015,Safaricom Ltd Ord 0.05,15.15
20/07/2015,Safaricom Ltd Ord 0.05,15.3
21/07/2015,Safaricom Ltd Ord 0.05,15.5
22/07/2015,Safaricom Ltd Ord 0.05,15.55
23/07/2015,Safaricom Ltd Ord 0.05,15.45
24/07/2015,Safaricom Ltd Ord 0.05,15.3
27/07/2015,Safaricom Ltd Ord 0.05,15.45
28/07/2015,Safaricom Ltd Ord 0.05,15.45
29/07/2015,Safaricom Ltd Ord 0.05,15.2
30/07/2015,Safaricom Ltd Ord 0.05,14.95
31/07/2015,Safaricom Ltd Ord 0.05,14.4
03/08/2015,Safaricom Ltd Ord 0.05,14.15
04/08/2015,Safaricom Ltd Ord 0.05,14
05/08/2015,Safaricom Ltd Ord 0.05,13.95
06/08/2015,Safaricom Ltd Ord 0.05,13.9
07/08/2015,Safaricom Ltd Ord 0.05,14.55
10/08/2015,Safaricom Ltd Ord 0.05,15.35
11/08/2015,Safaricom Ltd Ord 0.05,15.5
12/08/2015,Safaricom Ltd Ord 0.05,15.6
13/08/2015,Safaricom Ltd Ord 0.05,15.45
14/08/2015,Safaricom Ltd Ord 0.05,15
17/08/2015,Safaricom Ltd Ord 0.05,14.9
18/08/2015,Safaricom Ltd Ord 0.05,14.85
19/08/2015,Safaricom Ltd Ord 0.05,15
20/08/2015,Safaricom Ltd Ord 0.05,15.1
21/08/2015,Safaricom Ltd Ord 0.05,15
24/08/2015,Safaricom Ltd Ord 0.05,14.35
25/08/2015,Safaricom Ltd Ord 0.05,13.95
26/08/2015,Safaricom Ltd Ord 0.05,13.45
27/08/2015,Safaricom Ltd Ord 0.05,13.5
28/08/2015,Safaricom Ltd Ord 0.05,14.15
31/08/2015,Safaricom Ltd Ord 0.05,14.4
01/09/2015,Safaricom Ltd Ord 0.05,14.6
02/09/2015,Safaricom Ltd Ord 0.05,14.6
03/09/2015,Safaricom Ltd Ord 0.05,15.2
04/09/2015,Safaricom Ltd Ord 0.05,14.85
07/09/2015,Safaricom Ltd Ord 0.05,14.6
08/09/2015,Safaricom Ltd Ord 0.05,14.6
09/09/2015,Safaricom Ltd Ord 0.05,14.4
10/09/2015,Safaricom Ltd Ord 0.05,14.4
11/09/2015,Safaricom Ltd Ord 0.05,14.55
14/09/2015,Safaricom Ltd Ord 0.05,14.7
15/09/2015,Safaricom Ltd Ord 0.05,15.15
16/09/2015,Safaricom Ltd Ord 0.05,14.95
17/09/2015,Safaricom Ltd Ord 0.05,15
18/09/2015,Safaricom Ltd Ord 0.05,14.75
21/09/2015,Safaricom Ltd Ord 0.05,14.9
22/09/2015,Safaricom Ltd Ord 0.05,15
23/09/2015,Safaricom Ltd Ord 0.05,15.1
24/09/2015,Safaricom Ltd Ord 0.05,15.15
25/09/2015,Safaricom Ltd Ord 0.05,15.15
28/09/2015,Safaricom Ltd Ord 0.05,15.2
29/09/2015,Safaricom Ltd Ord 0.05,15.15
30/09/2015,Safaricom Ltd Ord 0.05,15.2
01/10/2015,Safaricom Ltd Ord 0.05,14.95
02/10/2015,Safaricom Ltd Ord 0.05,14.45
05/10/2015,Safaricom Ltd Ord 0.05,14.65
06/10/2015,Safaricom Ltd Ord 0.05,14.65
07/10/2015,Safaricom Ltd Ord 0.05,14.65
08/10/2015,Safaricom Ltd Ord 0.05,14.7
09/10/2015,Safaricom Ltd Ord 0.05,14.8
12/10/2015,Safaricom Ltd Ord 0.05,14.95
13/10/2015,Safaricom Ltd Ord 0.05,15
14/10/2015,Safaricom Ltd Ord 0.05,14.7
15/10/2015,Safaricom Ltd Ord 0.05,14.4
16/10/2015,Safaricom Ltd Ord 0.05,14.55
19/10/2015,Safaricom Ltd Ord 0.05,14.75
21/10/2015,Safaricom Ltd Ord 0.05,15
22/10/2015,Safaricom Ltd Ord 0.05,14.95
23/10/2015,Safaricom Ltd Ord 0.05,14.95
26/10/2015,Safaricom Ltd Ord 0.05,14.5
27/10/2015,Safaricom Ltd Ord 0.05,14.5
28/10/2015,Safaricom Ltd Ord 0.05,14.55
29/10/2015,Safaricom Ltd Ord 0.05,14.4
30/10/2015,Safaricom Ltd Ord 0.05,14.35
02/11/2015,Safaricom Ltd Ord 0.05,14.35
03/11/2015,Safaricom Ltd Ord 0.05,14.45
04/11/2015,Safaricom Ltd Ord 0.05,14.3
05/11/2015,Safaricom Ltd Ord 0.05,14.95
06/11/2015,Safaricom Ltd Ord 0.05,14.95
09/11/2015,Safaricom Ltd Ord 0.05,15.05
10/11/2015,Safaricom Ltd Ord 0.05,15.45
11/11/2015,Safaricom Ltd Ord 0.05,15.85
12/11/2015,Safaricom Ltd Ord 0.05,16.05
13/11/2015,Safaricom Ltd Ord 0.05,16
16/11/2015,Safaricom Ltd Ord 0.05,16.05
17/11/2015,Safaricom Ltd Ord 0.05,16.15
18/11/2015,Safaricom Ltd Ord 0.05,16.25
19/11/2015,Safaricom Ltd Ord 0.05,16.5
20/11/2015,Safaricom Ltd Ord 0.05,16.65
23/11/2015,Safaricom Ltd Ord 0.05,16.75
24/11/2015,Safaricom Ltd Ord 0.05,16.25
25/11/2015,Safaricom Ltd Ord 0.05,16.05
27/11/2015,Safaricom Ltd Ord 0.05,15.35
30/11/2015,Safaricom Ltd Ord 0.05,15.55
01/12/2015,Safaricom Ltd Ord 0.05,15.65
02/12/2015,Safaricom Ltd Ord 0.05,15.85
03/12/2015,Safaricom Ltd Ord 0.05,15.7
04/12/2015,Safaricom Ltd Ord 0.05,15.55
07/12/2015,Safaricom Ltd Ord 0.05,15.7
08/12/2015,Safaricom Ltd Ord 0.05,15.95
09/12/2015,Safaricom Ltd Ord 0.05,16.1
10/12/2015,Safaricom Ltd Ord 0.05,16.15
11/12/2015,Safaricom Ltd Ord 0.05,16.25
14/12/2015,Safaricom Ltd Ord 0.05,16.4
15/12/2015,Safaricom Ltd Ord 0.05,16.4
